================================================================================================
grid 11x10 = 110 cores   (W-chunk threshold 1024)
================================================================================================
part                       W      H |  w_eff   raw   old   new | B/core old B/core new
boltz2 MSA               768   1024 |    768    57    16    32 |     108891     217781
boltz2 MSA               768   4096 |    768    57    16    32 |     108891     217781
boltz2 MSA               768   8192 |    768    57    16    32 |     108891     217781
boltz2 MSA               896   1024 |    896    49    16    32 |     127039     254078
boltz2 MSA               896   4096 |    896    49    16    32 |     127039     254078
boltz2 MSA               896   8192 |    896    49    16    32 |     127039     254078
boltz2 MSA              1024   1024 |   1024    43    16    32 |     145187     290375
boltz2 MSA              1024   4096 |   1024    43    16    32 |     145187     290375
boltz2 MSA              1024   8192 |   1024    43    16    32 |     145187     290375
boltz2 MSA              1088   1024 |   1088    40    16    32 |     154262     308523
boltz2 MSA              1088   4096 |   1088    40    16    32 |     154262     308523
boltz2 MSA              1088   8192 |   1088    40    16    32 |     154262     308523
boltz2 MSA              1280   1024 |   1280    34    16    32 |     181484     362969
boltz2 MSA              1280   4096 |   1280    34    16    32 |     181484     362969
boltz2 MSA              1280   8192 |   1280    34    16    32 |     181484     362969
openfold3 pair           128    128 |    128   173    32   128 |      72594     290375
openfold3 pair           256    256 |    256    86    32    64 |     145187     290375
openfold3 pair           298    298 |    298    69    32    64 |     181484     362969
openfold3 pair           320    320 |    320    69    32    64 |     181484     362969
openfold3 pair           448    448 |    448    49    16    32 |     127039     254078
openfold3 pair           512    512 |    512    43    16    32 |     145187     290375
openfold3 pair           576    576 |    576    38    16    32 |     163336     326672
openfold3 pair           640    640 |    640    34    16    32 |     181484     362969
openfold3 pair          1088   1088 |   1088    20    15    16 |     289241     308523
openfold3 pair          1280   1280 |   1280    17    12    16 |     272226     362969
rf3 pair                 128    128 |    128   115    32    64 |     108891     217781
rf3 pair                 448    448 |    448    33    16    32 |     190559     381117
rf3 pair                 768    768 |    768    19    14    16 |     285838     326672
rf3 pair                 896    896 |    896    16    12    16 |     285838     381117
rf3 pair                1536   1536 |   1536     9     7     8 |     285838     326672
protenix-v2 pair         128    128 |    128    86    32    64 |     145187     290375
protenix-v2 pair         576    576 |    576    19    14    16 |     285838     326672
protenix-v2 pair         640    640 |    640    17    12    16 |     272226     362969
protenix-v2 pair        1088   1088 |   1088    10     7     8 |     269958     308523
protenix-v2 pair        1280   1280 |   1280     8     6     8 |     272226     362969
protenix-v2 MSA          128   1024 |    128   346    32   256 |      36297     290375
protenix-v2 MSA          128   4096 |    128   346    32   256 |      36297     290375
protenix-v2 MSA          128   8192 |    128   346    32   256 |      36297     290375
protenix-v2 MSA          256   1024 |    256   173    32   128 |      72594     290375
protenix-v2 MSA          256   4096 |    256   173    32   128 |      72594     290375
protenix-v2 MSA          256   8192 |    256   173    32   128 |      72594     290375
protenix-v2 MSA          298   1024 |    298   138    32   128 |      90742     362969
protenix-v2 MSA          298   4096 |    298   138    32   128 |      90742     362969
protenix-v2 MSA          298   8192 |    298   138    32   128 |      90742     362969
protenix-v2 MSA          320   1024 |    320   138    32   128 |      90742     362969
protenix-v2 MSA          320   4096 |    320   138    32   128 |      90742     362969
protenix-v2 MSA          320   8192 |    320   138    32   128 |      90742     362969
protenix-v2 MSA          384   1024 |    384   115    32    64 |     108891     217781
protenix-v2 MSA          384   4096 |    384   115    32    64 |     108891     217781
protenix-v2 MSA          384   8192 |    384   115    32    64 |     108891     217781
protenix-v2 MSA          448   1024 |    448    99    16    64 |      63520     254078
protenix-v2 MSA          448   4096 |    448    99    16    64 |      63520     254078
protenix-v2 MSA          448   8192 |    448    99    16    64 |      63520     254078
protenix-v2 MSA          512   1024 |    512    86    16    64 |      72594     290375
protenix-v2 MSA          512   4096 |    512    86    16    64 |      72594     290375
protenix-v2 MSA          512   8192 |    512    86    16    64 |      72594     290375
protenix-v2 MSA          576   1024 |    576    77    16    64 |      81668     326672
protenix-v2 MSA          576   4096 |    576    77    16    64 |      81668     326672
protenix-v2 MSA          576   8192 |    576    77    16    64 |      81668     326672
protenix-v2 MSA          640   1024 |    640    69    16    64 |      90742     362969
protenix-v2 MSA          640   4096 |    640    69    16    64 |      90742     362969
protenix-v2 MSA          640   8192 |    640    69    16    64 |      90742     362969
protenix-v2 MSA          768   1024 |    768    57    16    32 |     108891     217781
protenix-v2 MSA          768   4096 |    768    57    16    32 |     108891     217781
protenix-v2 MSA          768   8192 |    768    57    16    32 |     108891     217781
protenix-v2 MSA          896   1024 |    896    49    16    32 |     127039     254078
protenix-v2 MSA          896   4096 |    896    49    16    32 |     127039     254078
protenix-v2 MSA          896   8192 |    896    49    16    32 |     127039     254078
protenix-v2 MSA         1024   1024 |   1024    43    16    32 |     145187     290375
protenix-v2 MSA         1024   4096 |   1024    43    16    32 |     145187     290375
protenix-v2 MSA         1024   8192 |   1024    43    16    32 |     145187     290375
protenix-v2 MSA         1088   1024 |   1088    40    16    32 |     154262     308523
protenix-v2 MSA         1088   4096 |   1088    40    16    32 |     154262     308523
protenix-v2 MSA         1088   8192 |   1088    40    16    32 |     154262     308523
protenix-v2 MSA         1280   1024 |   1280    34    16    32 |     181484     362969
protenix-v2 MSA         1280   4096 |   1280    34    16    32 |     181484     362969
protenix-v2 MSA         1280   8192 |   1280    34    16    32 |     181484     362969
opendde pair             128    128 |    128    57    16    32 |     108891     217781
opendde pair             384    384 |    384    19    14    16 |     285838     326672
opendde pair             448    448 |    448    16    12    16 |     285838     381117
opendde pair             768    768 |    768     9     7     8 |     285838     326672
opendde pair             896    896 |    896     8     6     8 |     285838     381117
opendde pair            1536   1536 |   1536     4     3     4 |     245004     326672
shapes whose row block moves: 120
worst per-core L1 among the shapes that MOVED: 381117 B (budget 393216) -- inside
shapes the change pushes OVER the budget: 0 (none -- the snap bounds it by construction)
shapes ALREADY over the budget today, left untouched by raise-only: 1
    protenix-v2 pair       W=384   H=384   h=32  435562 B/core  (ships today)
